  ;nombre_perfume;Tipo;estado;familia_olfativa;ocasion;intensidad;genero;;;;
mango-temptation---victoria-secret;mango-temptation---victoria-secret;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;MUJER;;;;
marshmallow-blush---paris-corner;marshmallow-blush---paris-corner;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
meow---katty-perry;meow---katty-perry;ESTANDAR;ACTIVO;DULCES;OFICINA;ALTA;MUJER;;;;
miss-dior-edp---dior;miss-dior-edp---dior;1,1;ACTIVO;AMADERADAS;OFICINA;ALTA;MUJER;;;;
bleecker-street---bond-n9;bleecker-street---bond-n9;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;USO DIARIO;MEDIA;MUJER;;;;
mood-vanilla---ariana-grande;mood-vanilla---ariana-grande;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;MUJER;;;;
moon-sparkle---escada;moon-sparkle---escada;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;MUJER;;;;
narcotic-delight---initio;narcotic-delight---initio;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;UNISEX;;;;
nebras---lattafa;nebras---lattafa;ESTANDAR;ACTIVO;DULCES;EVENTO FORMAL;ALTA;MUJER;;;;
noble-blush---lattafa;noble-blush---lattafa;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;MEDIA;MUJER;;;;
odyssey-candee---armaf;odyssey-candee---armaf;ESTANDAR;ACTIVO;FRUTALES;OFICINA;MEDIA;MUJER;;;;
olympea---paco-rabanne;olympea---paco-rabanne;ESTANDAR;ACTIVO;FLORALES;OFICINA;ALTA;MUJER;;;;
omnia-amethyst---bvlgari;omnia-amethyst---bvlgari;ESTANDAR;ACTIVO;FLORALES;OFICINA;BAJA;MUJER;;;;
omnia-cristaline---bvlgari;omnia-cristaline---bvlgari;ESTANDAR;ACTIVO;FRESCO;USO DIARIO;BAJA;MUJER;;;;
oud-maracuja---maison-crivelli;oud-maracuja---maison-crivelli;ESTANDAR;ACTIVO;FRUTALES;EVENTO FORMAL;ALTA;MUJER;;;;
oud-sublime---lattafa;oud-sublime---lattafa;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
paris-hilton---paris-hilton;paris-hilton---paris-hilton;ESTANDAR;ACTIVO;FRUTALES;OFICINA;MEDIA;MUJER;;;;
paradoxe---prada;paradoxe---prada;ESTANDAR;ACTIVO;FLORALES;USO DIARIO;MEDIA;MUJER;;;;
pineapple---dolce-and-gabanna;pineapple---dolce-and-gabanna;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;MEDIA;MUJER;;;;
pure-seduction---victoria-secret;C;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
queen---bharara;queen---bharara;1,1;ACTIVO;FLORALES;EVENTO FORMAL;ALTA;MUJER;;;;
ralph-lauren---ralph;ralph-lauren---ralph;ESTANDAR;ACTIVO;FRESCO;DEPORTE;MEDIA;MUJER;;;;
roses-musk---montale;roses-musk---montale;ESTANDAR;ACTIVO;FLORALES;EVENTO FORMAL;MEDIA;MUJER;;;;
royal-amber---orientica-dorada;royal-amber---orientica-dorada;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;MUJER;;;;
sorbetto-rosso---escada;sorbetto-rosso---escada;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;ALTA;MUJER;;;;
sublime---lattafa;sublime---lattafa;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
sunkissed-goddess---killian;sunkissed-goddess---killian;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;MUJER;;;;
sweet-like-candy---ariana-grande;sweet-like-candy---ariana-grande;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;MUJER;;;;
temptation---yanbal;temptation---yanbal;ESTANDAR;ACTIVO;FRESCO;DEPORTE;BAJA;HOMBRE;;;;
thank-you-next---ariana-grande;thank-you-next---ariana-grande;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;MEDIA;MUJER;;;;
tous---yara;tous---yara;ESTANDAR;ACTIVO;FRUTALES;USO DIARIO;ALTA;MUJER;;;;
toy-2---mochino;toy-2---mochino;ESTANDAR;ACTIVO;CITRICAS;DEPORTE;MEDIA;MUJER;;;;
toy-2-bubblegum---moschino;toy-2-bubblegum---moschino;ESTANDAR;ACTIVO;DULCES;USO DIARIO;ALTA;MUJER;;;;
toy-2-pearls---moschino;toy-2-pearls---moschino;ESTANDAR;ACTIVO;AROMATICO;USO DIARIO;MEDIA;MUJER;;;;
vanilla-lace---victoria-secret;vanilla-lace---victoria-secret;ESTANDAR;ACTIVO;DULCES;OFICINA;ALTA;MUJER;;;;
velvet-gold---orientica;velvet-gold---orientica;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;OFICINA;MEDIA;MUJER;;;;
very-good-girl-glam---carolina-herrera;very-good-girl-glam---carolina-herrera;ESTANDAR;INACTIVO;AMADERADAS;OFICINA;MEDIA;MUJER;;;;
whipped-pleasure---lattafa;whipped-pleasure---lattafa;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
yara---lattafa;yara---lattafa;1,1;ACTIVO;DULCES;EVENTO FORMAL;ALTA;MUJER;;;;
yara-candy---lattafa;yara-candy---lattafa;1,1;ACTIVO;DULCES;CITA ROMATICA;ALTA;MUJER;;;;
yara-moi---lattafa;yara-moi---lattafa;ESTANDAR;INACTIVO;FLORALES;OFICINA;MEDIA;MUJER;;;;
yum-yum---armaf;yum-yum---armaf;ESTANDAR;ACTIVO;FRUTALES;OFICINA;MEDIA;MUJER;;;;
